iter	Passed	Remaining
404	8082	11873
405	8102	11853
406	8121	11833
407	8140	11812
408	8160	11792
409	8180	11771
410	8200	11751
411	8221	11733
412	8241	11713
413	8262	11695
414	8282	11675
415	8302	11655
416	8324	11637
417	8343	11616
418	8361	11594
419	8381	11574
420	8401	11554
421	8422	11535
422	8442	11515
423	8462	11496
424	8482	11475
425	8502	11456
426	8523	11438
427	8543	11418
428	8564	11399
429	8584	11379
430	8605	11360
431	8625	11340
432	8645	11320
433	8665	11300
434	8683	11279
435	8704	11259
436	8725	11241
437	8746	11222
438	8767	11203
439	8788	11184
440	8804	11159
441	8824	11140
442	8845	11121
443	8865	11102
444	8886	11082
445	8905	11061
446	8924	11041
447	8945	11022
448	8966	11003
449	8988	10986
450	9009	10967
451	9031	10949
452	9053	10932
453	9074	10913
454	9095	10894
455	9116	10876
456	9135	10854
457	9155	10834
458	9176	10816
459	9196	10795
460	9217	10776
461	9237	10757
462	9257	10737
463	9276	10716
464	9296	10695
465	9316	10676
466	9333	10652
467	9354	10633
468	9373	10613
469	9395	10594
470	9415	10575
471	9435	10555
472	9455	10535
473	9476	10516
474	9497	10496
475	9517	10477
476	9536	10455
477	9555	10435
478	9576	10416
479	9598	10397
480	9618	10377
481	9638	10357
482	9658	10338
483	9678	10318
484	9697	10297
485	9718	10278
486	9738	10258
487	9760	10240
488	9778	10218
489	9798	10198
490	9819	10179
491	9839	10159
492	9860	10140
493	9881	10121
494	9899	10099
495	9919	10079
496	9940	10060
497	9962	10042
498	9983	10023
499	10003	10003
500	10024	9984
501	10044	9964
502	10066	9946
503	10087	9927
504	10108	9908
505	10128	9888
506	10148	9868
507	10168	9847
508	10189	9829
509	10209	9808
510	10228	9788
511	10248	9768
512	10268	9747
513	10287	9727
514	10308	9707
515	10328	9687
516	10348	9668
517	10367	9646
518	10388	9627
519	10404	9603
520	10424	9584
521	10439	9559
522	10456	9536
523	10472	9513
524	10492	9493
525	10512	9473
526	10532	9453
527	10553	9434
528	10572	9413
529	10592	9393
530	10611	9372
531	10633	9354
532	10654	9335
533	10674	9315
534	10695	9296
535	10717	9277
536	10737	9258
537	10758	9238
538	10777	9218
539	10798	9198
540	10819	9179
541	10840	9160
542	10859	9139
543	10880	9120
544	10901	9101
545	10922	9082
546	10944	9063
547	10965	9044
548	10984	9024
549	11005	9004
550	11026	8984
551	11044	8963
552	11063	8943
553	11083	8922
554	11103	8902
555	11122	8881
556	11141	8860
557	11160	8840
558	11180	8820
559	11199	8799
560	11219	8779
561	11238	8759
562	11259	8739
563	11278	8718
564	11297	8698
565	11318	8678
566	11337	8658
567	11356	8637
568	11376	8617
569	11397	8598
570	11416	8577
571	11438	8558
572	11459	8539
573	11479	8519
574	11499	8499
575	11520	8480
576	11539	8459
577	11559	8439
578	11580	8420
579	11600	8400
580	11620	8380
581	11641	8361
582	11661	8341
583	11681	8321
584	11702	8301
585	11722	8281
586	11742	8261
587	11763	8242
588	11783	8222
589	11803	8202
590	11823	8182
591	11844	8162
592	11864	8142
593	11882	8121
594	11902	8101
595	11921	8081
596	11942	8061
597	11963	8042
598	11983	8022
599	12004	8003
600	12025	7983
